OMDb_Title,OMDb_Director,OMDb_Gender,OMDb_Year,OMDb_Country,Spalte_voller_Unsinn,OMDb_Genre 1,OMDb_Genre 2,OMDb_Genre 3,OMDb_Language,OMDb_Runtime,IMDb_Rating,OMDb_Actors,OMDb_Ploooooooooooot,IMDb_Votes,IMDb ID
much ado about nothing,Joss Whedon,male,2012,United States,dumdidum,Comedy,Drama,Romance,English,109 min,7,"Alexis Denisof, Amy Acker, Fran Kranz",A modern retelling of Shakespeare's classic comedy about two pairs of lovers with different takes on romance and a way with words.,16657,tt2094064
the untold history of the united states,N/A,male,2012,,dumdidum,,,,English,58,8.5,"Oliver Stone, Alan Shearman, Jim Ward",Oliver Stone 's re-examination of under-reported events in American history.,"9,064",tt1494191
holy motors,Leos Carax,male,2012,"France, Germany, Belgium",dumdidum,Drama,Fantasy,,"French, English, Chinese",115 min,7,"Denis Lavant, Edith Scob, Eva Mendes","A man boards a limousine to be driven to his day's work: nine mysterious ""appointments.""",45605,tt2076220
spring breakers,Harmony Korine,male,2012,"United States, France",dumdidum,Crime,Drama,Thriller,English,94 min,5.2999999999999998,"Vanessa Hudgens, Selena Gomez, Ashley Benson","Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.",141345,tt2101441
moonrise kingdom,Wes Anderson,male,2012,United States,dumdidum,Comedy,Drama,Romance,English,94 min,7.7999999999999998,"Jared Gilman, Kara Hayward, Bruce Willis","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",343990,tt1748122
the reluctant fundamentalist,Mira Nair,female,2012,"United States, India, Qatar",dumdidum,Drama,Thriller,,"English, Tamil, Urdu",130 min,6.7999999999999998,"Riz Ahmed, Liev Schreiber, Kiefer Sutherland","A young Pakistani man is chasing corporate success on Wall Street. He finds himself embroiled in a conflict between his American Dream, a hostage crisis, and the enduring call of his family's homeland.",14055,tt2032557
melancholia,Lars von Trier,male,2011,"Denmark, Sweden, France, Germany",dumdidum,Drama,Sci-Fi,,English,135 min,7.0999999999999996,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland",Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth.,179501,tt1527186
hugo,Martin Scorsese,male,2011,"United States, United Kingdom, France",dumdidum,Adventure,Drama,Family,English,126 min,7.5,"Asa Butterfield, Chloë Grace Moretz, Christopher Lee","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",319565,tt0970179
the tree of life,Terrence Malick,male,2011,United States,dumdidum,Drama,Fantasy,,English,139 min,6.7999999999999998,"Brad Pitt, Sean Penn, Jessica Chastain","The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",175621,tt0478304
tomboy,Céline Sciamma,female,2011,France,dumdidum,Drama,,,French,82 min,7.4000000000000004,"Zoé Héran, Malonn Lévana, Jeanne Disson","A family moves into a new neighborhood, and a 10-year-old named Laure deliberately presents as a boy named Mikhael to the neighborhood children.",20422,tt1847731
the artist,Michel Hazanavicius,male,2011,"France, Belgium, United States",dumdidum,Comedy,Drama,Romance,English,100 min,7.9000000000000004,"Jean Dujardin, Bérénice Bejo, John Goodman",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,239795,tt1655442
prohibition,N/A,female,2011,United States,dumdidum,Documentary,History,,English,360 min,8.1999999999999993,"Peter Coyote, Pete Hamill, Catherine Gilbert Murdock","The story of the American activist struggle against the influence of alcohol, climaxing in the failed early 20th century nationwide era when it was banned.",3118,tt1950799
contagion,Steven Soderbergh,male,2011,"United Arab Emirates, United States",dumdidum,Drama,Thriller,,"English, Mandarin, Cantonese",106 min,6.7999999999999998,"Matt Damon, Kate Winslet, Jude Law","Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.",299947,tt1598778
the intouchables,"Olivier Nakache, Éric Toledano",male,2011,France,dumdidum,Biography,Comedy,Drama,"French, English",112 min,8.5,"François Cluzet, Omar Sy, Anne Le Ny","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",829731,tt1675434
once upon a time in anatolia,Nuri Bilge Ceylan,male,2011,"Turkey, Bosnia and Herzegovina",dumdidum,Crime,Drama,,Turkish,157 min,7.9000000000000004,"Muhammet Uzuner, Yilmaz Erdogan, Taner Birsel",A group of men set out in search of a dead body in the Anatolian steppes.,45850,tt1827487
take shelter,Jeff Nichols,male,2011,United States,dumdidum,Drama,Sci-Fi,Thriller,English,120 min,7.2999999999999998,"Michael Shannon, Jessica Chastain, Shea Whigham","Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.",99572,tt1675192
the cabin in the woods,Drew Goddard,male,2011,United States,dumdidum,Horror,Mystery,Thriller,"English, Japanese",95 min,7,"Kristen Connolly, Chris Hemsworth, Anna Hutchison","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",406253,tt1259521
a dangerous method,David Cronenberg,male,2011,"United Kingdom, Germany, Canada, United States",dumdidum,Biography,Drama,Romance,English,99 min,6.4000000000000004,"Michael Fassbender, Keira Knightley, Viggo Mortensen",A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,102702,tt1571222
le havre,Aki Kaurismäki,male,2011,"Finland, France, Germany",dumdidum,Comedy,Drama,,French,93 min,7.2000000000000002,"André Wilms, Blondin Miguel, Jean-Pierre Darroussin","When an African boy arrives by cargo ship in the port city of Le Havre, an aging shoe shiner takes pity on the child and welcomes him into his home.",21638,tt1508675
inside job,Charles Ferguson,male,2010,United States,dumdidum,Documentary,Crime,,English,109 min,8.1999999999999993,"Matt Damon, Gylfi Zoega, Andri Snær Magnason",Takes a closer look at what brought about the 2008 financial meltdown.,74839,tt1645089
the tempest,Julie Taymor,female,2010,United States,dumdidum,Comedy,Drama,Fantasy,English,110 min,5.2999999999999998,"Helen Mirren, Felicity Jones, Djimon Hounsou","Shakespeare's epic play is translated from page to screen, with the gender of the main character, Prospero, changed from male to female.",7848,tt1274300
inception,Christopher Nolan,male,2010,"United States, United Kingdom",dumdidum,Action,Adventure,Sci-Fi,"English, Japanese, French",148 min,8.8000000000000007,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2262798,tt1375666
the social network,David Fincher,male,2010,United States,dumdidum,Biography,Drama,,"English, French",120 min,7.7999999999999998,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",681450,tt1285016
winter's bone,Debra Granik,female,2010,United States,dumdidum,Drama,Mystery,,English,100 min,7.0999999999999996,"Jennifer Lawrence, John Hawkes, Garret Dillahunt",An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,142169,tt1399683
black swan,Darren Aronofsky,male,2010,United States,dumdidum,Drama,Thriller,,"English, French, Italian",108 min,8,"Natalie Portman, Mila Kunis, Vincent Cassel","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",746376,tt0947798
the arbor,Clio Barnard,female,2010,,dumdidum,,,,English,94,7.2999999999999998,"Manjinder Virk, Christine Bottomley, Natalie Gavin",Portrayal of the late Bradford playwright Andrea Dunbar.,"1,993",tt1623008
true grit,"Ethan Coen, Joel Coen",male,2010,United States,dumdidum,Drama,Western,,English,110 min,7.5999999999999996,"Jeff Bridges, Matt Damon, Hailee Steinfeld",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,333764,tt1403865
toy story 3,Lee Unkrich,male,2010,United States,dumdidum,Animation,Adventure,Comedy,"English, Spanish",103 min,8.3000000000000007,"Tom Hanks, Tim Allen, Joan Cusack","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",811710,tt0435761
nostalgia for the light,Patricio Guzmán,male,2010,"France, Germany, Chile, Spain",dumdidum,Documentary,,,"Spanish, English",90 min,7.5999999999999996,"Gaspar Galaz, Lautaro Núñez, Luís Henríquez","A documentary about two different searches conducted in the Chilean Atacama Desert: one by astronomers looking for answers about the history of the cosmos, and one by women looking for the remains of loved ones killed by Pinochet'...",5544,tt1556190
scott pilgrim vs. the world,Edgar Wright,male,2010,"United States, United Kingdom, Canada, Japan",dumdidum,Action,Comedy,Fantasy,English,112 min,7.5,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin","In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",414703,tt0446029
waiting for superman,Davis Guggenheim,male,2010,United States,dumdidum,Documentary,,,"English, Spanish",111 min,7.4000000000000004,"Charles Adams, Jonathan Alter, Robert Balfanz",An examination of the current state of education in America today.,11454,tt1566648
le quattro volte,Michelangelo Frammartino,male,2010,"Italy, Germany, Switzerland",dumdidum,Drama,,,None,88 min,7.2000000000000002,"Giuseppe Fuda, Bruno Timpano, Nazareno Timpano","An old shepherd lives his last days in a quiet medieval village perched high on the hills of Calabria, at the southernmost tip of Italy. He herds goats under skies that most villagers have deserted long ago. He is sick, and believ...",3978,tt1646975
incendies,Denis Villeneuve,male,2010,"Canada, France",dumdidum,Drama,Mystery,War,"French, Arabic, English",131 min,8.3000000000000007,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,171486,tt1255953
alice in wonderland,Tim Burton,male,2010,United States,dumdidum,Adventure,Family,Fantasy,English,108 min,6.4000000000000004,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",406218,tt1014759
avatar,James Cameron,male,2009,United States,dumdidum,Action,Adventure,Fantasy,"English, Spanish",162 min,7.7999999999999998,"Sam Worthington, Zoe Saldana, Sigourney Weaver",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,1189326,tt0499549
district 9,Neill Blomkamp,male,2009,"South Africa, United States, New Zealand, Canada",dumdidum,Action,Sci-Fi,Thriller,"English, Nyanja, Afrikaans, Zulu, Xhosa, Sotho",112 min,7.9000000000000004,"Sharlto Copley, David James, Jason Cope",Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,669287,tt1136608
the road,John Hillcoat,male,2009,United States,dumdidum,Adventure,Drama,,English,111 min,7.2000000000000002,"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee","In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",235991,tt0898367
inglourious basterds,Quentin Tarantino,male,2009,"Germany, United States",dumdidum,Adventure,Drama,War,"English, German, French, Italian",153 min,8.3000000000000007,"Brad Pitt, Diane Kruger, Eli Roth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",1390167,tt0361748
fish tank,Andrea Arnold,female,2009,"Netherlands, United Kingdom",dumdidum,Drama,,,English,123 min,7.2999999999999998,"Katie Jarvis, Michael Fassbender, Kierston Wareing",Everything changes for 15-year-old Mia when her mum brings home a new boyfriend.,61910,tt1232776
samson & delilah,Warwick Thornton,male,2009,Australia,dumdidum,Drama,Romance,,"English, Aboriginal",101 min,7,"Rowan McNamara, Marissa Gibson, Mitjili Napanangka Gibson","A glue-sniffing boy and his girlfriend escape the government-controlled no-hope Aboriginal community they live in and go to the city, Alice Springs, looking for a better life.",3515,tt1340123
the national parks: america's best idea,N/A,male,2009,United States,dumdidum,Documentary,History,,English,120 min,8.5999999999999996,"Peter Coyote, William Cronon, Dayton Duncan","The history of the U.S. National Parks system, including the initial ideas which led to the world's first national parks and the expansion of the system over 150 years.",1770,tt1464482
a serious man,"Ethan Coen, Joel Coen",male,2009,"United Kingdom, France, United States",dumdidum,Comedy,Drama,,"English, Yiddish, Hebrew",106 min,7,"Michael Stuhlbarg, Richard Kind, Sari Lennick","Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.",141301,tt1019452
where the wild things are,Spike Jonze,male,2009,"Germany, United States, Australia",dumdidum,Adventure,Drama,Family,English,101 min,6.7000000000000002,"Max Records, Catherine O'Hara, Forest Whitaker","Yearning for escape and adventure, a young boy runs away from home and sails to an island filled with creatures that take him in as their king.",104313,tt0386117
the blind side,John Lee Hancock,male,2009,United States,dumdidum,Biography,Drama,Sport,English,129 min,7.5999999999999996,"Quinton Aaron, Sandra Bullock, Tim McGraw","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",323297,tt0878804
coraline,Henry Selick,male,2009,,dumdidum,,,,"English, Russian",100,7.7000000000000002,"Dakota Fanning, Teri Hatcher, John Hodgman","An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.","219,550",tt0327597
watchmen,Zack Snyder,male,2009,,dumdidum,,,,English,162,7.5999999999999996,"Jackie Earle Haley, Patrick Wilson, Carla Gugino","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.","540,442",tt0409459
antichrist,Lars von Trier,male,2009,,dumdidum,,,,English,108,6.5,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm","A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage, but nature takes its course and things go from bad to worse.","124,979",tt0870984
bright star,Jane Campion,female,2009,,dumdidum,,,,"English, French",119,6.9000000000000004,"Abbie Cornish, Ben Whishaw, Paul Schneider",The three-year romance between 19th-century poet John Keats and Fanny Brawne near the end of his life.,"27,305",tt0810784
500 days of summer,Marc Webb,male,2009,,dumdidum,,,,"English, French, Swedish",95,7.7000000000000002,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend","After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.","501,921",tt1022603
fantastic mr. fox,Wes Anderson,male,2009,,dumdidum,,,,"English, French",87,7.9000000000000004,"George Clooney, Meryl Streep, Bill Murray",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"224,275",tt0432283
sweetgrass,"Ilisa Barbash, Lucien Castaing-Taylor",female,2009,,dumdidum,,,,English,101,6.7999999999999998,N/A,"In the summer of 2003, a group of shepherds took a herd of sheep one final time through the Beartooth Mountains of Montana, in the extreme north-west of the United States. It was a journey of almost three hundred kilometres throug...","1,047",tt1517252
enter the void,Gaspar Noé,male,2009,,dumdidum,,,,"English, Japanese",161,7.2000000000000002,"Nathaniel Brown, Paz de la Huerta, Cyril Roy","An American drug dealer living in Tokyo is betrayed by his best friend and killed in a drug deal. His soul, observing the repercussions of his death, seeks resurrection.","78,214",tt1191111
waltz with bashir,Ari Folman,male,2008,,dumdidum,,,,"Hebrew, Arabic, German, English",90,8,"Ari Folman, Ron Ben-Yishai, Ronny Dayag",An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.,"57,639",tt1185616
let the right one in,Tomas Alfredson,male,2008,,dumdidum,,,,"Swedish, Spanish",114,7.9000000000000004,"Kåre Hedebrant, Lina Leandersson, Per Ragnar","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","214,495",tt1139797
the dark knight,Christopher Nolan,male,2008,,dumdidum,,,,"English, Mandarin",152,9,"Christian Bale, Heath Ledger, Aaron Eckhart","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","2,547,075",tt0468569
the class,Laurent Cantet,male,2008,,dumdidum,,,,"French, Bambara, Spanish",128,7.5,"François Bégaudeau, Agame Malembo-Emene, Angélica Sancio",Teacher and novelist François Bégaudeau plays a version of himself as he negotiates a year with his racially mixed students from a tough Parisian neighborhood.,"35,217",tt1068646
slumdog millionaire,"Danny Boyle, Loveleen Tandan",male,2008,,dumdidum,,,,"English, Hindi, French, German",120,8,"Dev Patel, Freida Pinto, Saurabh Shukla","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","832,625",tt1010048
hunger,Steve McQueen,male,2008,,dumdidum,,,,"English, Irish Gaelic",96,7.5,"Stuart Graham, Laine Megaw, Brian Milligan",Irish republican Bobby Sands leads the inmates of a Northern Irish prison in a hunger strike.,"69,872",tt0986233
wall·e,Andrew Stanton,male,2008,,dumdidum,,,,"English, Hindi",98,8.4000000000000004,"Ben Burtt, Elissa Knight, Jeff Garlin","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","1,081,263",tt0910970
australia,Baz Luhrmann,male,2008,,dumdidum,,,,"English, Aboriginal, Chinese, Japanese",165,6.5999999999999996,"Nicole Kidman, Hugh Jackman, Shea Adams","Set in northern Australia before WWII, an Englishwoman who inherits a sprawling ranch reluctantly pacts with a stock-man in order to drive 2,000 head of cattle over unforgiving landscapes.","123,678",tt0455824
standard operating procedure,Errol Morris,male,2008,,dumdidum,,,,English,116,7.4000000000000004,"Megan Ambuhl Graner, Javal Davis, Ken Davis",Errol Morris examines the incidents of abuse and torture of suspected terrorists at the hands of U.S. forces at the Abu Ghraib prison.,"3,998",tt0896866
